,climate,Code,daytime,Tmax,Tmin,Rhmean,u2,GAMA,Rn,G,es
6720,BSh,40738,1/1/2001,12.14,2.65,59.3,1.71,0.07,-2.06,0.14,1.08
6721,BSh,40738,2/1/2001,16.68,4.31,41.5,2.17,0.07,-0.13,0.43,1.37
6722,BSh,40738,3/1/2001,19.54,7.46,35.9,2.28,0.07,3.67,0.49,1.65
6723,BSh,40738,4/1/2001,23.39,11.65,26.4,2.27,0.07,6.85,0.63,2.12
6724,BSh,40738,5/1/2001,28.6,16.3,28.3,2.56,0.07,9.65,0.58,2.88
6725,BSh,40738,6/1/2001,31.15,20.49,24.8,2.76,0.07,10.72,0.4,3.47
6726,BSh,40738,7/1/2001,33.19,23.19,27.2,2.31,0.07,10.93,0.21,3.96
6727,BSh,40738,8/1/2001,34.02,23.54,23.3,2.39,0.07,8.64,-0.19,4.11
6728,BSh,40738,9/1/2001,30.76,20.28,27.2,1.83,0.07,4.84,-0.66,3.41
6729,BSh,40738,10/1/2001,25.07,13.61,31.9,1.56,0.07,0.8,-0.74,2.37
6730,BSh,40738,11/1/2001,19.87,9.91,43.4,1.71,0.07,-1.55,-0.56,1.77
6731,BSh,40738,12/1/2001,16.63,6.11,74.4,1.53,0.07,-2.1,-0.45,1.42
6732,BSh,40738,1/1/2002,12.79,4.0,65.6,1.68,0.07,-1.66,-0.11,1.15
6733,BSh,40738,2/1/2002,15.23,4.44,43.7,1.93,0.07,0.09,0.34,1.29
6734,BSh,40738,3/1/2002,19.06,7.39,35.3,1.87,0.07,3.61,0.36,1.62
6735,BSh,40738,4/1/2002,19.01,10.92,54.2,2.04,0.07,6.68,0.45,1.75
6736,BSh,40738,5/1/2002,24.84,14.43,30.1,1.75,0.07,9.46,0.75,2.39
6737,BSh,40738,6/1/2002,31.51,19.71,21.0,2.23,0.07,11.46,0.67,3.46
6738,BSh,40738,7/1/2002,34.68,23.86,26.1,2.12,0.07,11.69,0.2,4.24
6739,BSh,40738,8/1/2002,32.78,24.29,22.5,1.72,0.07,7.44,-0.16,4.0
6740,BSh,40738,9/1/2002,32.3,21.79,19.9,1.36,0.07,4.37,-0.37,3.73
6741,BSh,40738,10/1/2002,29.09,17.3,25.9,1.51,0.07,0.54,-0.82,3.0
6742,BSh,40738,11/1/2002,20.27,10.35,45.6,1.35,0.07,-1.78,-1.2,1.82
6743,BSh,40738,12/1/2002,10.48,1.51,65.3,1.48,0.07,-2.3,-0.47,0.97
6744,BSh,40738,1/1/2003,13.65,3.52,57.1,1.39,0.07,-1.74,0.19,1.17
6745,BSh,40738,2/1/2003,12.8,4.6,55.5,1.82,0.07,0.93,0.04,1.16
6746,BSh,40738,3/1/2003,12.65,5.65,47.7,1.97,0.07,3.57,0.35,1.19
6747,BSh,40738,4/1/2003,18.12,9.41,46.0,2.38,0.07,6.05,0.75,1.63
6748,BSh,40738,5/1/2003,26.58,13.27,30.6,2.18,0.07,10.91,0.69,2.5
6749,BSh,40738,6/1/2003,28.97,18.39,23.1,2.4,0.07,10.86,0.5,3.06
6750,BSh,40738,7/1/2003,30.99,23.14,21.0,2.02,0.07,8.72,0.33,3.66
6751,BSh,40738,8/1/2003,33.9,22.89,26.2,1.97,0.07,9.0,-0.13,4.04
6752,BSh,40738,9/1/2003,30.11,20.19,28.5,2.22,0.07,4.82,-0.43,3.32
6753,BSh,40738,10/1/2003,27.9,16.61,29.2,1.82,0.07,0.77,-0.81,2.83
6754,BSh,40738,11/1/2003,18.26,8.97,46.0,1.66,0.07,-1.59,-0.8,1.62
6755,BSh,40738,12/1/2003,15.07,6.48,67.4,1.54,0.07,-2.06,-0.26,1.34
6756,BSh,40738,1/1/2004,15.0,4.93,76.9,1.74,0.07,-1.5,0.02,1.29
6757,BSh,40738,2/1/2004,16.77,5.27,42.5,2.11,0.07,0.15,0.19,1.4
6758,BSh,40738,3/1/2004,17.45,7.92,41.4,1.82,0.07,3.6,0.26,1.53
6759,BSh,40738,4/1/2004,20.29,9.15,43.6,2.18,0.07,7.38,0.59,1.77
6760,BSh,40738,5/1/2004,26.65,15.54,28.0,2.53,0.07,9.56,0.79,2.63
6761,BSh,40738,6/1/2004,31.37,20.59,21.9,2.23,0.07,10.97,0.38,3.51
6762,BSh,40738,7/1/2004,30.94,22.23,28.9,2.34,0.07,10.47,0.23,3.58
6763,BSh,40738,8/1/2004,34.25,24.22,23.8,2.0,0.07,8.69,-0.1,4.21
6764,BSh,40738,9/1/2004,30.55,19.75,24.5,2.41,0.07,4.59,-0.69,3.34
6765,BSh,40738,10/1/2004,25.92,12.87,34.8,1.65,0.07,0.88,-0.7,2.42
6766,BSh,40738,11/1/2004,20.22,10.05,56.2,1.66,0.07,-1.24,-0.78,1.8
6767,BSh,40738,12/1/2004,12.67,3.9,73.2,1.97,0.07,-2.36,-0.49,1.14
