,climate,Code,daytime,Tmax,Tmin,Rhmean,u2,GAMA,Rn,G,es
0,BSk,40700,1/1/2001,8.06,-0.26,80.7,2.15,0.07,0.4,0.0,0.84
1,BSk,40700,2/1/2001,12.33,1.45,79.7,2.28,0.07,2.48,0.52,1.06
2,BSk,40700,3/1/2001,17.01,5.71,77.1,2.73,0.07,5.65,0.59,1.43
3,BSk,40700,4/1/2001,20.81,9.71,76.3,1.76,0.07,9.08,0.58,1.83
4,BSk,40700,5/1/2001,25.82,13.6,68.2,2.92,0.07,12.31,0.68,2.44
5,BSk,40700,6/1/2001,32.37,17.53,55.2,2.78,0.07,15.35,0.58,3.43
6,BSk,40700,7/1/2001,34.75,21.13,53.8,2.35,0.07,14.3,0.17,4.03
7,BSk,40700,8/1/2001,33.43,21.3,58.4,3.02,0.07,11.54,-0.34,3.84
8,BSk,40700,9/1/2001,28.61,17.41,65.3,2.26,0.07,7.84,-0.86,2.95
9,BSk,40700,10/1/2001,19.21,10.86,79.2,1.23,0.07,3.61,-0.86,1.76
10,BSk,40700,11/1/2001,15.46,5.99,76.0,0.96,0.07,0.93,-0.56,1.35
11,BSk,40700,12/1/2001,11.06,2.9,80.6,1.45,0.07,-0.03,-0.51,1.04
12,BSk,40700,1/1/2002,8.24,-1.32,76.7,1.39,0.07,0.28,-0.0,0.82
13,BSk,40700,2/1/2002,13.12,0.71,73.6,1.57,0.07,2.45,0.51,1.08
14,BSk,40700,3/1/2002,16.07,5.44,76.5,2.79,0.07,5.72,0.37,1.36
15,BSk,40700,4/1/2002,16.07,8.26,83.1,2.49,0.07,7.49,0.44,1.46
16,BSk,40700,5/1/2002,22.25,11.85,80.0,2.01,0.07,11.22,0.8,2.04
17,BSk,40700,6/1/2002,30.01,17.13,64.2,3.32,0.07,14.31,0.77,3.1
18,BSk,40700,7/1/2002,35.66,20.45,55.9,3.45,0.07,15.34,0.22,4.12
19,BSk,40700,8/1/2002,32.46,20.92,64.4,4.3,0.07,11.67,-0.28,3.68
20,BSk,40700,9/1/2002,30.43,17.57,71.3,2.93,0.07,8.83,-0.57,3.18
21,BSk,40700,10/1/2002,23.39,13.57,78.0,1.91,0.07,4.06,-0.91,2.22
22,BSk,40700,11/1/2002,16.55,5.48,75.6,2.71,0.07,0.85,-1.26,1.39
23,BSk,40700,12/1/2002,3.66,-2.74,83.6,3.05,0.07,0.09,-0.42,0.65
24,BSk,40700,1/1/2003,10.35,-0.35,80.8,2.14,0.07,0.28,0.31,0.93
25,BSk,40700,2/1/2003,8.04,1.69,83.5,2.74,0.07,2.41,-0.0,0.88
26,BSk,40700,3/1/2003,8.23,1.72,84.6,3.24,0.07,4.92,0.43,0.89
27,BSk,40700,4/1/2003,15.64,6.33,80.1,3.71,0.07,7.92,0.94,1.37
28,BSk,40700,5/1/2003,24.78,11.99,75.4,1.84,0.07,12.92,0.78,2.26
29,BSk,40700,6/1/2003,28.02,16.22,70.8,2.58,0.07,13.99,0.57,2.82
30,BSk,40700,7/1/2003,32.23,20.86,65.8,2.84,0.07,13.09,0.34,3.64
31,BSk,40700,8/1/2003,33.41,20.42,65.6,2.46,0.07,12.73,-0.36,3.77
32,BSk,40700,9/1/2003,26.39,16.47,73.5,2.18,0.07,7.14,-0.6,2.66
33,BSk,40700,10/1/2003,23.48,13.07,79.6,1.45,0.07,3.98,-0.8,2.2
34,BSk,40700,11/1/2003,14.09,5.87,86.3,1.24,0.07,1.12,-0.85,1.27
35,BSk,40700,12/1/2003,10.68,1.45,82.5,1.04,0.07,-0.15,-0.31,0.98
36,BSk,40700,1/1/2004,10.78,0.41,78.7,1.15,0.07,0.22,0.04,0.96
37,BSk,40700,2/1/2004,11.89,1.44,78.5,1.52,0.07,2.47,0.29,1.04
38,BSk,40700,3/1/2004,14.83,4.74,77.1,2.22,0.07,5.5,0.38,1.27
39,BSk,40700,4/1/2004,17.6,6.55,80.3,1.56,0.07,8.79,0.65,1.49
40,BSk,40700,5/1/2004,24.2,13.88,75.4,1.73,0.07,11.77,0.87,2.3
41,BSk,40700,6/1/2004,31.18,17.87,62.0,2.21,0.07,14.56,0.5,3.29
42,BSk,40700,7/1/2004,32.26,19.99,66.8,3.36,0.07,14.22,0.2,3.58
43,BSk,40700,8/1/2004,34.42,20.41,61.0,2.9,0.07,12.52,-0.27,3.92
