,climate,Code,daytime,Tmax,Tmin,Rhmean,u2,GAMA,Rn,G,es
10368,BWh,40758,1/1/2001,10.55,-0.59,45.9,1.24,0.06,-2.01,0.13,0.93
10369,BWh,40758,2/1/2001,14.69,0.89,36.9,3.23,0.06,0.27,0.66,1.16
10370,BWh,40758,3/1/2001,21.72,6.96,31.3,2.04,0.06,4.41,0.92,1.8
10371,BWh,40758,4/1/2001,29.57,12.41,17.8,3.74,0.06,7.86,0.77,2.79
10372,BWh,40758,5/1/2001,33.75,16.89,19.1,3.01,0.06,11.26,0.64,3.59
10373,BWh,40758,6/1/2001,38.87,21.29,18.7,3.39,0.06,13.32,0.45,4.74
10374,BWh,40758,7/1/2001,39.76,23.71,18.4,3.55,0.06,12.32,0.11,5.11
10375,BWh,40758,8/1/2001,39.96,23.22,17.5,2.08,0.06,9.86,-0.35,5.1
10376,BWh,40758,9/1/2001,35.19,18.35,21.4,1.88,0.06,5.67,-0.78,3.9
10377,BWh,40758,10/1/2001,28.61,12.31,23.4,1.55,0.06,0.84,-1.02,2.67
10378,BWh,40758,11/1/2001,19.37,5.06,28.7,1.22,0.06,-2.04,-0.85,1.56
10379,BWh,40758,12/1/2001,13.52,3.23,54.9,0.71,0.06,-2.29,-0.45,1.16
10380,BWh,40758,1/1/2002,11.12,0.32,47.5,1.79,0.06,-2.03,0.09,0.97
10381,BWh,40758,2/1/2002,16.79,2.48,34.9,3.11,0.06,0.13,0.59,1.32
10382,BWh,40758,3/1/2002,22.12,6.21,23.9,3.04,0.06,4.14,0.52,1.81
10383,BWh,40758,4/1/2002,23.3,10.72,25.4,3.37,0.06,7.65,0.67,2.08
10384,BWh,40758,5/1/2002,31.67,15.88,18.8,4.09,0.06,11.48,0.84,3.24
10385,BWh,40758,6/1/2002,37.41,20.7,16.6,3.3,0.06,13.33,0.58,4.43
10386,BWh,40758,7/1/2002,39.59,24.53,19.5,5.28,0.06,12.65,0.21,5.15
10387,BWh,40758,8/1/2002,40.53,23.6,19.6,3.46,0.06,10.08,-0.25,5.25
10388,BWh,40758,9/1/2002,37.54,19.37,18.0,2.32,0.06,5.42,-0.66,4.36
10389,BWh,40758,10/1/2002,31.47,13.68,20.0,1.74,0.06,0.56,-1.1,3.09
10390,BWh,40758,11/1/2002,19.44,6.13,45.4,1.73,0.06,-1.43,-1.21,1.6
10391,BWh,40758,12/1/2002,10.09,0.37,39.6,2.13,0.06,-2.64,-0.45,0.93
10392,BWh,40758,1/1/2003,12.38,0.2,43.6,2.02,0.06,-2.02,0.2,1.03
10393,BWh,40758,2/1/2003,13.69,2.39,33.1,3.58,0.06,0.35,0.35,1.15
10394,BWh,40758,3/1/2003,17.48,5.25,30.7,3.79,0.06,4.29,0.71,1.44
10395,BWh,40758,4/1/2003,24.74,11.57,26.1,3.67,0.06,7.34,0.76,2.24
10396,BWh,40758,5/1/2003,30.14,14.33,19.4,3.84,0.06,11.4,0.78,2.96
10397,BWh,40758,6/1/2003,37.39,21.13,15.8,3.71,0.06,12.9,0.81,4.46
10398,BWh,40758,7/1/2003,42.23,25.5,18.9,4.94,0.06,12.32,0.15,5.78
10399,BWh,40758,8/1/2003,39.61,23.1,19.2,3.66,0.06,10.13,-0.55,5.03
10400,BWh,40758,9/1/2003,34.7,17.27,20.2,2.29,0.06,5.64,-0.65,3.75
10401,BWh,40758,10/1/2003,30.59,13.52,21.7,1.75,0.06,0.8,-1.02,2.97
10402,BWh,40758,11/1/2003,18.35,4.44,30.5,1.83,0.06,-2.25,-1.12,1.48
10403,BWh,40758,12/1/2003,11.18,0.98,43.0,1.19,0.06,-2.5,-0.37,0.99
10404,BWh,40758,1/1/2004,11.13,1.18,52.0,1.5,0.06,-1.53,0.26,0.99
10405,BWh,40758,2/1/2004,17.04,2.66,28.6,3.54,0.06,0.0,0.6,1.34
10406,BWh,40758,3/1/2004,21.83,7.53,27.4,1.32,0.06,4.12,0.53,1.83
10407,BWh,40758,4/1/2004,24.47,10.44,32.6,3.15,0.06,8.35,0.63,2.17
10408,BWh,40758,5/1/2004,31.42,15.86,19.8,4.55,0.06,11.28,0.92,3.2
10409,BWh,40758,6/1/2004,38.73,22.33,14.3,3.94,0.06,12.55,0.51,4.8
10410,BWh,40758,7/1/2004,38.73,23.23,17.5,3.77,0.06,12.32,0.12,4.87
10411,BWh,40758,8/1/2004,40.25,24.17,14.5,3.81,0.06,9.35,-0.3,5.25
10412,BWh,40758,9/1/2004,35.05,18.36,17.7,1.62,0.06,5.35,-0.86,3.88
10413,BWh,40758,10/1/2004,28.13,11.78,24.5,1.22,0.06,0.9,-0.95,2.6
10414,BWh,40758,11/1/2004,19.47,6.8,33.1,2.2,0.06,-2.07,-1.04,1.63
10415,BWh,40758,12/1/2004,10.18,-0.06,51.5,0.84,0.06,-2.33,-0.58,0.93
10416,BWh,40758,1/1/2005,10.1,-0.46,45.1,2.13,0.06,-2.04,0.02,0.91
10417,BWh,40758,2/1/2005,10.63,0.14,40.6,1.74,0.06,0.69,0.61,0.95
10418,BWh,40758,3/1/2005,20.27,6.8,30.0,4.09,0.06,4.33,0.94,1.68
10419,BWh,40758,4/1/2005,26.57,11.05,22.5,3.45,0.06,8.06,0.69,2.4
10420,BWh,40758,5/1/2005,31.57,15.17,22.5,3.49,0.06,11.45,0.78,3.18
10421,BWh,40758,6/1/2005,38.21,21.63,16.5,3.87,0.06,13.23,0.73,4.64
10422,BWh,40758,7/1/2005,41.77,25.78,16.5,5.36,0.06,12.0,0.11,5.71
10423,BWh,40758,8/1/2005,38.94,23.94,16.8,4.43,0.06,9.44,-0.42,4.97
10424,BWh,40758,9/1/2005,36.77,18.77,15.8,2.98,0.06,5.13,-0.75,4.18
10425,BWh,40758,10/1/2005,29.22,12.28,21.8,1.77,0.06,0.68,-1.15,2.74
10426,BWh,40758,11/1/2005,17.65,4.95,35.3,0.81,0.06,-1.85,-0.86,1.44
10427,BWh,40758,12/1/2005,14.55,2.23,33.9,0.75,0.06,-3.68,-0.55,1.19
10428,BWh,40758,1/1/2006,7.79,-1.03,44.8,1.28,0.06,-1.51,0.1,0.81
10429,BWh,40758,2/1/2006,15.7,3.84,31.6,3.6,0.06,0.39,0.77,1.29
10430,BWh,40758,3/1/2006,21.43,7.25,21.3,3.63,0.06,3.97,0.73,1.79
10431,BWh,40758,4/1/2006,27.31,13.06,25.4,3.99,0.06,8.3,0.77,2.57
10432,BWh,40758,5/1/2006,33.33,17.28,20.3,3.88,0.06,11.39,0.75,3.55
10433,BWh,40758,6/1/2006,39.29,22.45,12.0,4.16,0.06,12.45,0.48,4.91
10434,BWh,40758,7/1/2006,40.48,23.84,15.8,4.45,0.06,12.26,0.02,5.26
10435,BWh,40758,8/1/2006,39.7,22.66,14.5,3.58,0.06,9.14,-0.41,5.01
10436,BWh,40758,9/1/2006,34.77,17.82,18.8,2.96,0.06,5.44,-0.64,3.8
10437,BWh,40758,10/1/2006,29.6,14.44,25.7,3.53,0.06,1.19,-1.02,2.9
10438,BWh,40758,11/1/2006,18.37,5.08,39.6,2.74,0.06,-1.64,-1.23,1.5
10439,BWh,40758,12/1/2006,9.11,-0.11,60.4,1.78,0.06,-1.94,-0.52,0.88
10440,BWh,40758,1/1/2007,9.94,-1.26,44.0,2.03,0.06,-2.33,0.27,0.89
10441,BWh,40758,2/1/2007,13.74,2.92,43.6,3.32,0.06,0.86,0.46,1.16
10442,BWh,40758,3/1/2007,16.3,5.49,34.0,3.54,0.06,4.25,0.66,1.38
10443,BWh,40758,4/1/2007,24.76,10.9,26.7,3.9,0.06,7.69,0.98,2.21
10444,BWh,40758,5/1/2007,32.41,17.46,22.8,3.74,0.06,11.01,0.87,3.43
10445,BWh,40758,6/1/2007,38.59,22.04,21.3,4.51,0.06,13.2,0.48,4.75
10446,BWh,40758,7/1/2007,39.41,24.07,17.8,4.64,0.06,11.78,0.02,5.07
10447,BWh,40758,8/1/2007,39.05,22.27,15.5,4.01,0.06,9.21,-0.33,4.85
10448,BWh,40758,9/1/2007,35.47,18.71,14.5,3.22,0.06,4.97,-0.73,3.97
10449,BWh,40758,10/1/2007,27.92,12.68,26.9,2.09,0.06,1.04,-0.9,2.61
10450,BWh,40758,11/1/2007,21.91,6.44,24.5,2.39,0.06,-2.57,-1.01,1.8
10451,BWh,40758,12/1/2007,11.42,0.19,38.2,2.05,0.06,-3.33,-1.09,0.98
10452,BWh,40758,1/1/2008,3.51,-6.42,66.6,1.4,0.06,-0.98,0.04,0.58
10453,BWh,40758,2/1/2008,12.8,-0.15,37.8,2.67,0.06,0.46,1.33,1.04
10454,BWh,40758,3/1/2008,25.93,9.23,16.7,3.24,0.06,3.67,1.07,2.26
10455,BWh,40758,4/1/2008,29.74,13.57,21.6,2.77,0.06,8.16,0.53,2.87
10456,BWh,40758,5/1/2008,33.52,16.87,16.4,3.31,0.06,10.82,0.61,3.55
10457,BWh,40758,6/1/2008,39.13,21.68,13.9,2.77,0.06,12.54,0.54,4.82
10458,BWh,40758,7/1/2008,41.19,24.64,13.6,3.23,0.06,11.52,0.01,5.48
10459,BWh,40758,8/1/2008,39.24,21.99,18.4,2.65,0.06,9.83,-0.34,4.86
10460,BWh,40758,9/1/2008,36.02,19.97,20.8,2.61,0.06,5.49,-0.65,4.14
10461,BWh,40758,10/1/2008,28.89,13.7,27.5,1.93,0.06,1.29,-1.08,2.78
10462,BWh,40758,11/1/2008,19.06,6.13,40.5,1.74,0.06,-1.32,-1.05,1.58
10463,BWh,40758,12/1/2008,12.29,0.31,49.4,0.73,0.06,-2.95,-0.48,1.03
10464,BWh,40758,1/1/2009,12.13,-0.57,44.0,1.64,0.06,-2.22,0.27,1.0
10465,BWh,40758,2/1/2009,16.4,3.84,32.5,3.1,0.06,0.45,0.67,1.34
10466,BWh,40758,3/1/2009,22.86,7.85,25.9,4.39,0.06,4.2,0.43,1.92
10467,BWh,40758,4/1/2009,23.07,9.35,35.6,3.97,0.06,7.97,0.66,2.0
10468,BWh,40758,5/1/2009,32.65,16.84,21.2,3.85,0.06,10.39,0.86,3.43
10469,BWh,40758,6/1/2009,36.38,20.64,19.6,4.27,0.06,12.34,0.6,4.25
10470,BWh,40758,7/1/2009,41.59,25.15,13.9,4.72,0.06,11.48,0.22,5.61
10471,BWh,40758,8/1/2009,40.15,23.18,18.2,3.47,0.06,9.72,-0.52,5.14
10472,BWh,40758,9/1/2009,33.99,17.77,20.9,3.21,0.06,5.52,-0.78,3.68
10473,BWh,40758,10/1/2009,28.13,12.88,24.9,1.88,0.06,0.96,-0.87,2.65
