,climate,Code,daytime,Tmax,Tmin,Rhmean,u2,GAMA,Rn,G,es
384,BWk,40702,1/1/2001,3.17,-2.45,68.1,1.43,0.06,1.09,0.71,0.64
385,BWk,40702,2/1/2001,12.51,-0.72,53.6,1.04,0.06,2.76,0.86,1.02
386,BWk,40702,3/1/2001,19.36,5.85,52.0,1.45,0.06,6.06,0.76,1.59
387,BWk,40702,4/1/2001,23.6,9.87,49.7,1.35,0.06,9.69,0.5,2.07
388,BWk,40702,5/1/2001,26.57,12.82,44.4,2.32,0.06,12.19,0.73,2.48
389,BWk,40702,6/1/2001,34.34,19.96,31.4,3.05,0.06,14.91,0.68,3.88
390,BWk,40702,7/1/2001,35.46,23.35,32.8,4.59,0.06,14.05,0.2,4.32
391,BWk,40702,8/1/2001,36.3,23.65,34.9,3.68,0.06,12.24,-0.3,4.48
392,BWk,40702,9/1/2001,32.21,18.05,39.1,1.81,0.06,8.43,-1.01,3.44
393,BWk,40702,10/1/2001,22.01,9.21,51.9,1.24,0.06,3.97,-1.21,1.91
394,BWk,40702,11/1/2001,13.19,2.63,62.1,0.67,0.06,1.3,-0.76,1.13
395,BWk,40702,12/1/2001,9.07,0.48,71.4,0.63,0.06,0.54,-0.56,0.89
396,BWk,40702,1/1/2002,4.73,-4.92,63.1,1.24,0.06,0.72,0.04,0.64
397,BWk,40702,2/1/2002,11.96,-1.31,48.8,1.18,0.06,2.69,0.72,0.98
398,BWk,40702,3/1/2002,16.99,3.49,50.9,1.4,0.06,5.97,0.54,1.36
399,BWk,40702,4/1/2002,17.73,8.43,64.1,1.03,0.06,8.64,0.49,1.57
400,BWk,40702,5/1/2002,23.37,10.99,55.2,1.69,0.06,12.23,0.83,2.09
401,BWk,40702,6/1/2002,31.93,17.84,37.4,2.45,0.06,14.41,0.86,3.39
402,BWk,40702,7/1/2002,35.92,23.04,31.1,3.55,0.06,14.17,0.26,4.37
403,BWk,40702,8/1/2002,34.78,22.46,37.5,2.95,0.06,12.44,-0.3,4.14
404,BWk,40702,9/1/2002,33.01,17.37,39.0,1.21,0.06,8.54,-0.73,3.51
405,BWk,40702,10/1/2002,24.72,11.67,56.5,0.61,0.06,4.18,-1.11,2.24
406,BWk,40702,11/1/2002,15.62,3.06,63.0,0.54,0.06,1.26,-1.69,1.27
407,BWk,40702,12/1/2002,-1.92,-9.87,75.4,0.69,0.06,0.82,-0.75,0.41
408,BWk,40702,1/1/2003,2.24,-4.99,77.0,0.75,0.06,1.14,0.64,0.57
409,BWk,40702,2/1/2003,7.66,-1.14,68.5,0.95,0.06,2.84,0.49,0.81
410,BWk,40702,3/1/2003,10.05,1.25,60.6,1.29,0.06,5.58,0.73,0.95
411,BWk,40702,4/1/2003,19.58,7.69,50.9,2.39,0.06,8.74,0.94,1.66
412,BWk,40702,5/1/2003,26.45,11.83,52.2,0.95,0.06,12.73,0.67,2.42
413,BWk,40702,6/1/2003,29.33,16.94,48.9,2.15,0.06,14.42,0.62,3.01
414,BWk,40702,7/1/2003,33.99,22.14,39.4,4.42,0.06,14.47,0.42,3.99
415,BWk,40702,8/1/2003,35.35,22.92,35.8,3.41,0.06,12.15,-0.37,4.27
416,BWk,40702,9/1/2003,28.77,16.68,46.3,2.31,0.06,8.39,-0.73,2.93
417,BWk,40702,10/1/2003,25.43,11.92,52.4,0.73,0.06,4.1,-1.01,2.32
418,BWk,40702,11/1/2003,13.44,3.14,64.4,0.77,0.06,1.26,-1.12,1.15
419,BWk,40702,12/1/2003,6.27,-0.81,72.0,0.95,0.06,0.61,-0.47,0.76
420,BWk,40702,1/1/2004,5.32,-2.11,69.4,1.13,0.06,1.0,0.16,0.71
421,BWk,40702,2/1/2004,9.66,0.46,58.9,1.83,0.06,2.75,0.61,0.92
422,BWk,40702,3/1/2004,17.1,3.63,47.4,1.66,0.06,6.15,0.52,1.37
423,BWk,40702,4/1/2004,19.29,5.54,51.4,1.03,0.06,9.38,0.59,1.57
424,BWk,40702,5/1/2004,24.9,12.81,54.0,1.7,0.06,12.09,0.9,2.32
425,BWk,40702,6/1/2004,32.03,18.54,39.3,2.67,0.06,15.11,0.6,3.45
426,BWk,40702,7/1/2004,33.28,21.5,41.0,3.59,0.06,14.21,0.32,3.84
427,BWk,40702,8/1/2004,36.06,23.52,36.1,3.96,0.06,12.55,-0.26,4.43
428,BWk,40702,9/1/2004,31.05,16.31,43.4,2.34,0.06,8.66,-0.91,3.18
429,BWk,40702,10/1/2004,23.85,9.65,54.9,1.06,0.06,4.28,-0.97,2.08
430,BWk,40702,11/1/2004,15.06,4.71,72.8,0.65,0.06,1.47,-1.43,1.28
431,BWk,40702,12/1/2004,0.52,-8.02,77.5,0.6,0.06,0.72,-1.03,0.48
432,BWk,40702,1/1/2005,-0.07,-9.68,81.2,0.5,0.06,1.16,0.3,0.45
433,BWk,40702,2/1/2005,4.48,-3.46,71.0,1.25,0.06,2.93,0.93,0.66
434,BWk,40702,3/1/2005,14.44,2.3,58.6,1.36,0.06,6.12,1.03,1.18
435,BWk,40702,4/1/2005,22.39,7.99,55.9,1.13,0.06,9.69,0.77,1.89
436,BWk,40702,5/1/2005,25.74,13.06,59.1,1.52,0.06,12.5,0.65,2.41
437,BWk,40702,6/1/2005,31.15,17.87,46.7,2.72,0.06,14.88,0.78,3.29
438,BWk,40702,7/1/2005,36.83,24.21,39.3,3.82,0.06,14.75,0.35,4.62
439,BWk,40702,8/1/2005,35.43,23.51,44.0,4.16,0.06,12.99,-0.43,4.33
440,BWk,40702,9/1/2005,30.89,17.97,48.7,2.08,0.06,8.65,-0.91,3.26
441,BWk,40702,10/1/2005,23.3,9.67,51.6,1.2,0.06,4.12,-1.07,2.03
442,BWk,40702,11/1/2005,14.95,3.4,63.8,0.64,0.06,1.29,-0.91,1.24
443,BWk,40702,12/1/2005,7.33,-0.35,77.5,0.63,0.06,0.64,-0.75,0.81
444,BWk,40702,1/1/2006,1.67,-4.75,73.2,0.9,0.06,1.11,-0.14,0.56
445,BWk,40702,2/1/2006,5.96,-3.09,75.9,1.03,0.06,2.95,0.82,0.71
446,BWk,40702,3/1/2006,17.46,2.85,54.4,1.13,0.06,6.36,1.02,1.37
447,BWk,40702,4/1/2006,22.28,9.71,56.6,1.34,0.06,8.72,0.73,1.95
448,BWk,40702,5/1/2006,27.77,13.32,48.8,1.69,0.06,13.09,0.9,2.63
449,BWk,40702,6/1/2006,36.11,21.47,31.0,3.66,0.06,14.93,0.58,4.27
450,BWk,40702,7/1/2006,34.61,22.93,36.4,4.72,0.06,14.26,0.2,4.15
451,BWk,40702,8/1/2006,38.81,24.44,28.1,2.64,0.06,11.72,-0.33,4.99
452,BWk,40702,9/1/2006,30.79,17.31,41.2,2.39,0.06,8.38,-0.97,3.21
453,BWk,40702,10/1/2006,23.76,11.68,66.6,0.5,0.06,4.33,-1.11,2.16
454,BWk,40702,11/1/2006,14.19,2.07,60.6,0.64,0.06,1.12,-1.39,1.16
455,BWk,40702,12/1/2006,2.48,-6.81,72.6,0.5,0.06,0.61,-1.05,0.55
456,BWk,40702,1/1/2007,-2.45,-11.38,76.3,1.07,0.06,1.21,0.27,0.38
457,BWk,40702,2/1/2007,6.6,-3.09,67.4,1.13,0.06,2.9,1.09,0.73
458,BWk,40702,3/1/2007,13.65,3.7,56.3,1.47,0.06,5.74,0.74,1.18
459,BWk,40702,4/1/2007,17.52,7.21,57.0,1.78,0.06,8.56,0.89,1.51
460,BWk,40702,5/1/2007,28.21,14.59,48.6,1.92,0.06,11.93,0.96,2.74
461,BWk,40702,6/1/2007,32.31,19.73,40.6,3.15,0.06,14.59,0.45,3.57
462,BWk,40702,7/1/2007,33.21,22.52,36.6,4.62,0.06,14.01,0.19,3.91
463,BWk,40702,8/1/2007,34.55,22.78,38.1,3.47,0.06,12.0,-0.15,4.13
464,BWk,40702,9/1/2007,32.13,19.35,38.9,2.39,0.06,8.69,-0.73,3.52
465,BWk,40702,10/1/2007,24.56,11.88,53.4,0.88,0.06,4.18,-1.19,2.24
466,BWk,40702,11/1/2007,13.77,3.73,61.9,0.89,0.06,1.23,-1.15,1.19
467,BWk,40702,12/1/2007,5.65,-2.06,78.8,0.5,0.06,0.2,-1.08,0.72
468,BWk,40702,1/1/2008,-2.03,-11.24,67.2,0.97,0.06,0.92,-0.09,0.39
469,BWk,40702,2/1/2008,5.06,-4.06,65.4,1.13,0.06,2.9,1.39,0.66
470,BWk,40702,3/1/2008,20.59,5.93,48.2,0.84,0.06,6.15,1.25,1.68
471,BWk,40702,4/1/2008,25.8,10.99,43.9,0.84,0.06,9.54,0.48,2.32
472,BWk,40702,5/1/2008,26.85,13.42,48.2,2.51,0.06,12.74,0.5,2.54
473,BWk,40702,6/1/2008,32.12,18.87,39.7,3.76,0.06,14.5,0.62,3.48
474,BWk,40702,7/1/2008,34.97,22.97,39.2,4.38,0.06,14.19,0.31,4.21
475,BWk,40702,8/1/2008,36.06,23.78,32.0,4.01,0.06,11.63,-0.35,4.45
476,BWk,40702,9/1/2008,30.03,17.77,52.6,2.25,0.06,8.34,-0.92,3.14
477,BWk,40702,10/1/2008,22.4,11.21,58.7,1.6,0.06,4.11,-0.99,2.02
478,BWk,40702,11/1/2008,15.57,3.9,63.4,1.05,0.06,1.18,-1.05,1.29
479,BWk,40702,12/1/2008,6.78,-3.05,72.2,0.93,0.06,0.28,-1.05,0.74
480,BWk,40702,1/1/2009,-0.26,-10.25,79.6,1.03,0.06,1.01,0.33,0.44
481,BWk,40702,2/1/2009,12.26,0.93,61.8,1.21,0.06,2.84,1.05,1.04
482,BWk,40702,3/1/2009,15.5,4.1,52.6,1.99,0.06,5.66,0.41,1.29
