,climate,Code,daytime,Tmax,Tmin,Rhmean,u2,GAMA,Rn,G,es
1728,Csa,40709,1/1/2001,8.65,2.62,69.8,0.9,0.07,0.39,0.64,0.93
1729,Csa,40709,2/1/2001,12.24,4.7,64.1,1.71,0.07,2.03,0.38,1.14
1730,Csa,40709,3/1/2001,14.51,7.52,56.6,1.2,0.07,4.92,0.42,1.35
1731,Csa,40709,4/1/2001,17.57,11.48,52.5,1.12,0.07,7.58,0.56,1.68
1732,Csa,40709,5/1/2001,22.66,15.45,51.1,1.16,0.07,10.47,0.58,2.25
1733,Csa,40709,6/1/2001,27.19,18.38,47.3,1.51,0.07,13.69,0.45,2.86
1734,Csa,40709,7/1/2001,30.14,20.82,50.0,1.01,0.07,13.06,0.25,3.37
1735,Csa,40709,8/1/2001,30.66,21.96,48.5,0.85,0.07,10.15,-0.19,3.52
1736,Csa,40709,9/1/2001,26.27,19.36,47.1,0.65,0.07,6.09,-0.7,2.83
1737,Csa,40709,10/1/2001,19.3,13.23,56.0,0.75,0.07,2.84,-0.68,1.88
1738,Csa,40709,11/1/2001,17.13,9.07,71.2,0.66,0.07,0.81,-0.51,1.55
1739,Csa,40709,12/1/2001,12.09,5.86,72.0,0.75,0.07,0.06,-0.51,1.17
1740,Csa,40709,1/1/2002,8.96,2.6,73.6,0.74,0.07,0.37,-0.06,0.94
1741,Csa,40709,2/1/2002,12.3,4.03,62.1,1.16,0.07,1.94,0.36,1.12
1742,Csa,40709,3/1/2002,14.67,7.16,53.5,1.0,0.07,4.84,0.29,1.34
1743,Csa,40709,4/1/2002,14.66,10.02,69.1,1.19,0.07,6.32,0.38,1.45
1744,Csa,40709,5/1/2002,19.64,13.18,65.9,1.24,0.07,10.64,0.7,1.9
1745,Csa,40709,6/1/2002,26.58,18.13,46.6,1.84,0.07,13.15,0.69,2.78
1746,Csa,40709,7/1/2002,31.33,21.23,49.9,1.1,0.07,14.02,0.26,3.55
1747,Csa,40709,8/1/2002,29.7,22.31,52.3,0.92,0.07,9.74,-0.2,3.43
1748,Csa,40709,9/1/2002,27.65,19.28,43.4,0.79,0.07,6.81,-0.45,2.97
1749,Csa,40709,10/1/2002,22.79,16.46,50.7,0.5,0.07,2.85,-0.73,2.32
1750,Csa,40709,11/1/2002,16.72,9.4,64.8,0.5,0.07,0.68,-1.11,1.54
1751,Csa,40709,12/1/2002,6.5,0.95,78.9,0.82,0.07,0.2,-0.43,0.81
1752,Csa,40709,1/1/2003,10.46,3.3,78.6,0.73,0.07,0.3,0.18,1.02
1753,Csa,40709,2/1/2003,8.76,3.8,71.5,0.76,0.07,2.15,-0.05,0.97
1754,Csa,40709,3/1/2003,8.53,3.83,67.5,1.24,0.07,4.31,0.31,0.96
1755,Csa,40709,4/1/2003,13.76,7.7,61.9,1.37,0.07,6.94,0.77,1.31
1756,Csa,40709,5/1/2003,21.28,13.16,59.7,1.18,0.07,11.92,0.72,2.02
1757,Csa,40709,6/1/2003,24.82,17.2,61.6,1.55,0.07,13.31,0.55,2.55
1758,Csa,40709,7/1/2003,28.89,21.29,60.5,0.89,0.07,12.41,0.31,3.26
1759,Csa,40709,8/1/2003,29.87,20.9,52.1,0.82,0.07,10.6,-0.25,3.34
1760,Csa,40709,9/1/2003,24.86,18.11,57.6,1.11,0.07,5.8,-0.42,2.61
1761,Csa,40709,10/1/2003,22.86,15.88,51.8,0.89,0.07,2.92,-0.68,2.3
1762,Csa,40709,11/1/2003,14.86,8.59,65.9,1.07,0.07,0.77,-0.76,1.4
1763,Csa,40709,12/1/2003,12.34,4.72,76.7,1.44,0.07,-0.16,-0.24,1.14
1764,Csa,40709,1/1/2004,11.77,4.87,73.2,1.29,0.07,0.2,0.03,1.12
1765,Csa,40709,2/1/2004,12.93,5.01,66.1,1.59,0.07,2.06,0.08,1.18
1766,Csa,40709,3/1/2004,13.12,5.93,53.6,1.15,0.07,4.67,0.18,1.22
1767,Csa,40709,4/1/2004,14.93,8.01,56.3,1.49,0.07,7.91,0.58,1.39
1768,Csa,40709,5/1/2004,21.23,14.49,65.4,1.45,0.07,10.35,0.77,2.09
1769,Csa,40709,6/1/2004,26.41,18.51,53.4,1.55,0.07,13.31,0.44,2.79
1770,Csa,40709,7/1/2004,27.71,20.54,58.7,1.32,0.07,12.01,0.25,3.07
1771,Csa,40709,8/1/2004,30.54,21.62,49.4,0.96,0.07,11.19,-0.17,3.48
1772,Csa,40709,9/1/2004,25.53,17.98,47.9,1.18,0.07,6.18,-0.65,2.67
1773,Csa,40709,10/1/2004,20.48,13.21,51.9,0.67,0.07,2.85,-0.6,1.96
1774,Csa,40709,11/1/2004,16.47,9.92,76.8,0.99,0.07,0.98,-0.74,1.55
1775,Csa,40709,12/1/2004,10.12,2.49,79.3,0.88,0.07,-0.51,-0.48,0.98
1776,Csa,40709,1/1/2005,9.48,3.19,77.7,0.55,0.07,0.36,-0.1,0.98
1777,Csa,40709,2/1/2005,7.81,1.98,68.8,1.79,0.07,2.06,0.18,0.88
1778,Csa,40709,3/1/2005,12.11,5.59,61.7,1.67,0.07,4.64,0.6,1.16
1779,Csa,40709,4/1/2005,17.26,9.81,58.9,1.64,0.07,8.31,0.68,1.59
1780,Csa,40709,5/1/2005,22.21,14.94,63.4,1.32,0.07,10.91,0.61,2.19
1781,Csa,40709,6/1/2005,25.79,18.65,56.3,1.3,0.07,11.55,0.55,2.74
1782,Csa,40709,7/1/2005,30.47,22.35,53.4,1.04,0.07,12.77,0.26,3.53
1783,Csa,40709,8/1/2005,30.57,21.43,55.1,1.2,0.07,10.1,-0.26,3.47
1784,Csa,40709,9/1/2005,26.23,19.29,54.1,0.91,0.07,6.08,-0.59,2.82
1785,Csa,40709,10/1/2005,21.09,14.05,53.2,0.96,0.07,2.83,-0.74,2.05
1786,Csa,40709,11/1/2005,15.45,8.84,70.0,0.68,0.07,0.87,-0.49,1.45
1787,Csa,40709,12/1/2005,13.73,7.47,67.4,0.91,0.07,-0.13,-0.58,1.3
1788,Csa,40709,1/1/2006,6.72,1.01,84.4,0.86,0.07,0.63,-0.3,0.82
1789,Csa,40709,2/1/2006,9.16,3.41,72.3,1.04,0.07,2.13,0.43,0.97
1790,Csa,40709,3/1/2006,13.17,6.84,58.7,1.61,0.07,4.57,0.51,1.25
1791,Csa,40709,4/1/2006,16.28,10.95,64.3,0.75,0.07,7.03,0.55,1.58
1792,Csa,40709,5/1/2006,21.04,14.74,59.0,1.22,0.07,10.47,0.79,2.09
1793,Csa,40709,6/1/2006,29.87,20.03,47.6,1.08,0.07,14.17,0.49,3.28
